Q	beta	A(Q)	A(Q)+B(Q)	B(Q)
0.00861005226339187	0.953230593950143	261580900000	264190900000	2610000000
0.0107625656484078	0.936187154759617	188870000000	191480000000	2610000000
0.0129150792479361	0.935359979783376	181377110000	183987110000	2610000000
0.0150675931031303	0.940426442888883	196529110000	199139120000	2610010000
0.0172201072560488	0.966621971253679	312542100000	315152110000	2610010000
0.0193726217511617	0.962341240381463	261925570000	264535570000	2610000000
0.0215251366296228	0.946742009041024	167792850000	170402860000	2610009999.99997
0.0236776519357103	0.952783390147025	161656000000	164266000000	2610000000
0.0258301677094954	0.951362013348128	149001730000	151611740000	2610010000
0.0279826839961134	0.951450525647052	145383750000	147993760000	2610010000
0.0301352008368485	0.961092647252203	161281790000	163891790000	2610000000
0.0322877182746384	0.985162983346427	230900190000	233510190000	2610000000
0.0344402363524272	1.00192503949591	341127070000	343737070000	2610000000
0.0365927551126312	1.00346765442667	326482030000	329092040000	2610010000
0.0387452745982904	0.991885012235303	241999300000	244609300000	2610000000.00003
0.0408977948510006	0.973924321918913	153731090000	156341090000	2610000000
0.043050315914892	0.959831298706619	101052540000	103662550000	2610010000.00002
0.0452028378317188	0.950027852347223	78051910000	80661922000	2610012000
0.0473553606442771	0.889994798079023	41622520000	44232528000	2610008000
0.0495078843949988	0.749573680035392	20013531000	22623541000	2610010000
0.0516604091267809	0.676054990662984	16348740000	18958750000	2610010000
0.053812934882531	0.625512831764225	14060533000	16670543000	2610010000
0.055965461704817	0.516478894629298	10316578000	12926588000	2610010000
0.0581179896359302	0.533176780217809	9095994400	11706004000	2610009600
0.0602705187189042	0.626286273649706	9768377300	12378387000	2610009700
0.0624230489958264	0.659353071760604	9784184800	12394195000	2610010200
0.0645755805101074	0.786700233793524	11302132000	13912142000	2610010000
0.0667281133039323	0.879328627210123	12950514000	15560524000	2610010000
0.0688806474201491	0.872645472550154	12420767000	15030777000	2610010000
0.071033182901345	0.838001013988473	10695494000	13305504000	2610010000
0.0731857197904176	0.836450278080832	9718359000	12328369000	2610010000
0.0753382581294965	0.835135435654944	8867459100	11477469000	2610009900
0.0774907979618086	0.785182395336439	7066807300	9676817400	2610010100
0.0796433393295744	0.780798784541156	5714560000	8324570100	2610010100
0.0817958822755684	0.759711013232432	4939639800	7549649400	2610009600
0.0839484268428161	0.701621035384254	3950909700	6560919600	2610009900
0.0861009730734323	0.666476925468702	3440551200	6050561000	2610009800
0.0882535210102759	0.559233238226709	2611254000	5221263900	2610009900
0.0904060706964311	0.508299121818144	1740404500	4350414300	2610009800
0.0925586221739188	0.465298381409499	1305325100	3915334900	2610009800
0.0947111754856678	0.574030672831358	1114647800	3724657700	2610009900
0.0968637306744084	0.880152950547653	991112960	3601122800	2610009840
0.0990162877826946	0.962769717478782	915168768	3525178600	2610009832
