	Measurement 01		Measurement 02		Measurement 03		Front 01	Front 02	Front 03	
750	129.1621	3.96286928752388	130.376633333333	4.86798847814303	129.229633333333	1.82206446190395	126.878	121.4020089	120.346037	
700	119.043366666667	1.94032154637661	121.346833333333	1.7062239135979	113.866466666667	2.36169407488213	109.96605	110.4335937	109.2999269	
650	111.176933333333	1.11886107418809	107.4219	2.72057291760393	111.695966666667	1.79265340301279	100.7295843	99.4313568	99.2319775	
600	102.7304	1.5381364341306	102.7304	1.5381364341306	102.723166666667	0.361096196786025	91.8383968	91.8383968	92.0399313	
550	93.0463	1.39317026597613	--	--	85.5748	0.795483821331394	83.2322829	85.6180727	81.3432396	
500	84.2047666666667	0.4032188652994	85.5748	0.795483821331394	83.3124	1.43257922294022	74.7177807	76.256778	75.6645807	
450	77.2717666666667	0.921335559572813	76.1030666666667	1.66445102461243	74.4736	0.29739312365957	69.9628633	68.3698641	67.9358033	
400	67.5046333333333	0.0897779668589909	66.2288	1.19706219136685	67.3088	1.50303144677681	60.6850991	59.4270913	60.7459538	
350	57.391	2.01419718001987	54.6423333333333	2.02007433114065	56.2895	3.04769039274005	52.1474881	50.2685468	51.315339	
