# n_meas, bed height (mm),  bed volume (cm^3),particle mass (g), particle denisty (g/cm^3), particle volume (cm^3), volume fraction, pump rate
1 75.3147278115 7.7224599139 8.6910000000 2.4784064480 3.5066887464 0.4540896017 750
2 74.8716964960 7.6770333198 8.6910000000 2.4784064480 3.5066887464 0.4567765438 750
3 74.6236973553 7.6516045162 8.6910000000 2.4784064480 3.5066887464 0.4582945628 750
4 73.2165407589 7.5073205132 8.6910000000 2.4784064480 3.5066887464 0.4671025754 700
5 73.1591932495 7.5014403374 8.6910000000 2.4784064480 3.5066887464 0.4674687245 700
6 72.9800918659 7.4830760241 8.6910000000 2.4784064480 3.5066887464 0.4686159455 700
7 71.5068476395 7.3320156696 8.6910000000 2.4784064480 3.5066887464 0.4782707654 650
8 71.3983471056 7.3208904748 8.6910000000 2.4784064480 3.5066887464 0.4789975698 650
9 71.2762627754 7.3083724537 8.6910000000 2.4784064480 3.5066887464 0.4798180126 650
10 69.8661336351 7.1637836585 8.6910000000 2.4784064480 3.5066887464 0.4895023236 600
11 70.0407837744 7.1816915596 8.6910000000 2.4784064480 3.5066887464 0.4882817254 600
12 70.0858425901 7.1863117037 8.6910000000 2.4784064480 3.5066887464 0.4879678048 600
13 68.7986921352 7.0543326330 8.6910000000 2.4784064480 3.5066887464 0.4970971641 550
14 69.2142908770 7.0969464048 8.6910000000 2.4784064480 3.5066887464 0.4941123332 550
15 68.2405500055 6.9971030532 8.6910000000 2.4784064480 3.5066887464 0.5011629412 550
16 67.4985225347 6.9210186330 8.6910000000 2.4784064480 3.5066887464 0.5066723458 500
17 67.1977707922 6.8901807963 8.6910000000 2.4784064480 3.5066887464 0.5089400191 500
18 67.2317915842 6.8936691473 8.6910000000 2.4784064480 3.5066887464 0.5086824841 500
19 66.1780919595 6.7856271567 8.6910000000 2.4784064480 3.5066887464 0.5167818192 450
20 65.5387233587 6.7200689514 8.6910000000 2.4784064480 3.5066887464 0.5218233283 450
21 65.6678699802 6.7333111105 8.6910000000 2.4784064480 3.5066887464 0.5207970772 450
22 64.1627064872 6.5789778867 8.6910000000 2.4784064480 3.5066887464 0.5330142169 400
23 64.1732988093 6.5800639795 8.6910000000 2.4784064480 3.5066887464 0.5329262386 400
24 64.2535347041 6.5882910355 8.6910000000 2.4784064480 3.5066887464 0.5322607528 400
25 62.1354587969 6.3711123141 8.6910000000 2.4784064480 3.5066887464 0.5504044778 350
26 62.1174113825 6.3692618071 8.6910000000 2.4784064480 3.5066887464 0.5505643908 350
27 62.0939630097 6.3668575081 8.6910000000 2.4784064480 3.5066887464 0.5507722989 350
